text,label,processed
Movie marathon anyonneeee :(((( loner af,0,Movie marathon anyonneee ||N|| ((( loner af
@TikoSD Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),1,||T|| Hi! Would you like an ||T|| concert? Let me know your city and country and I'll start working on it! Thanks ||P||
"@claralikesarah actually, gf couscous is not as bad as I thought it would be. I'll send you some links :)",1,"||T|| actually, gf couscous is NOT as bad as I thought it would be. I'll send you some links ||P||"
Stay lahhh :( https://t.co/TlsKIA4mJv,0,Stay lahhh ||N|| ||U||
@rxpstar I haven't debut and I'm still a student :( I don't have enough money to pay you eon.,0,||T|| I haven't debut and I'm still a student ||N|| I don't have enough money to pay you eon.
@rainymondays luv u 💖 ps. We haven't talked in a looooong time :-( why??,0,||T|| luv u 💖 ps. We haven't talked in a looong time ||N|| why??
I'm gonna buy you~ :) http://t.co/GlcLGTVe0U,1,I'm gonna buy you~ ||P|| ||U||
my boys r playing :( and i cant watch it :( rip,0,my boys r playing ||N|| and i cant watch it ||N|| rip
@thalasalupa orayt! rock and roll to the world! :D,1,||T|| orayt! rock and roll to the world! ||ExP||
@ArtForCause Cool. Will look for you there. :),1,||T|| Cool. Will look for you there. ||P||
so fugly af in our school id :-(((((,0,so fugly af in our school id ||N|| (((
i miss sophie :(,0,i miss sophie ||N||
@clairebearbunch @BeeRummie @racheyra @greigo_uk @phillipross11 @janesgrapevine @LeinadDOP80 morning! Have a lucky Friday folks :),1,||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| morning! Have a lucky Friday folks ||P||
Thanks Manila_bro for the follow! Let's connect soon. :),1,Thanks Manila_bro for the follow! Let's connect soon. ||P||
"@rosieofthejones belated birthday wishes to you (can't believe I missed it - mind, I miss all bdays, inc my own!!!). Bad about phone :-(",0,"||T|| belated birthday wishes to you (can't believe I missed it - mind, I miss all bdays, inc my own!!!). Bad about phone ||N||"
She's so nice :((,0,She's so nice ||N|| (
"ALLAH swt always has 3 replies to our prayers. 
1. Yes.
2. Yes, but not now.
3. I have a better plan for you.
There’s never a No :)
#غردلي",1,"ALLAH swt always has 3 replies to our prayers. 1. Yes. 2. Yes, but NOT now. 3. I have a better plan for you. There’s NOT a NOT ||P|| #غردلي"
@DrRamcharan55 u started the comparative religion rant as well :) after all ur a STUDENT of it. I guess the last benchers probably (1/5),1,||T|| u started the comparative religion rant as well ||P|| after all ur a STUDENT of it. I guess the last benchers probably (1/5)
@ZoeyChandler6  we Professional we do hits videos : Wicked Boomshot fuh di world even yours thank you :),1,||T|| we Professional we do hits videos : Wicked Boomshot fuh di world even yours thank you ||P||
@CursedDid911 :) i have all day tommorow ok chill,1,||T|| ||P|| i have all day tommorow ok chill
@xcliffordpizza my mom called me up :(((( i got distracted,0,||T|| my mom called me up ||N|| ((( i got distracted
"@Prinsesandreya happy birthday, Cess! :)",1,"||T|| happy birthday, Cess! ||P||"
Good night everyone!! : ) https://t.co/yhIOXEl7fe,1,Good night everyone!! : ) ||U||
I love you all goodnight. Vid going up when I wake up you all with love this one :),1,I love you all goodnight. Vid going up when I wake up you all with love this one ||P||
I really want to pierce my cupid's bow :(,0,I really want to pierce my cupid's bow ||N||
What was your favorite subject in school? — PHYSICS :))))))) http://t.co/h8wqtuoP8T,1,What was your favorite subject in school? — PHYSICS ||P|| ))) ||U||
@erinaree It was SO yum but I had to feed 6 so no leftovers :(,0,||T|| It was SO yum but I had to feed 6 so NOT leftovers ||N||
I'm sorry I didn't see this tweet :( 2 Points x https://t.co/N6HMgKfoR1,0,I'm sorry I NOT see this tweet ||N|| 2 Points x ||U||
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x18",1,Hi BAM ! ||T|| Can you follow my bestfriend ||T|| ? She loves you a lot ||P|| See you in Warsaw &lt;3 Love you &lt;3 x18
@uberlinco Ha! Wasn't talking about *that* course...talking about the ones of a virtual variety :) @travelsofadam,1,||T|| Ha! NOT talking about *that* course...talking about the ones of a virtual variety ||P|| ||T||
@R_steeez12 really sad I didn't get to see you guys on bday  :(,0,||T|| really sad I NOT get to see you guys on bday ||N||
goodbye stage already :-(,0,goodbye stage already ||N||
Short Talk! Last Day Of Beach :(: http://t.co/sStJosDrNZ via @YouTube,0,Short Talk! Last Day Of Beach ||N|| : ||U|| via ||T||
@anands_69 Thanks and wish you the same :),1,||T|| Thanks and wish you the same ||P||
@ayyedolans DO U HAVE GRAY'S FOLLOWK?!! OMG ITS TOO HARD these DAYS U KNOW :(:(,0,||T|| DO U HAVE GRAY'S FOLLOWK?!! OMG ITS TOO HARD these DAYS U KNOW ||N|| ||N||
@AshDawson147 @snookerfanatic @SnookerSnaps @Guillemenorca @snookermylove @SnookerFamily @SexySnooker @GrandSnookerFan Thanks Ash! :),1,||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| Thanks Ash! ||P||
I wonder when I'm gonna see all ukiss members as one again :(,0,I wonder when I'm gonna see all ukiss members as one again ||N||
Lovely coffee :) @CoffeesToGo1,1,Lovely coffee ||P|| ||T||
Remember that one time I didn't go to flume/kaytranada/alunageorge even though I had tickets? I still want to kms. : ) : ),1,Remember that one time I NOT go to flume/kaytranada/alunageorge even though I had tickets? I still want to kms. : ) : )
When your bestfriend has nice friends. :)) http://t.co/J0Kohuy537,1,When your bestfriend has nice friends. ||P|| ) ||U||
or a famous bowl :(,0,or a famous bowl ||N||
@Sk37cHi :( what’s the issue?!,0,||T|| ||N|| what’s the issue?!
@TheTwoHalvesAle Good luck...another potential favourite watering hole :-),1,||T|| Good luck...another potential favourite watering hole ||P||
"Happy bday @Cinemainmygenes  Saar....
Have a great year ahead... :)",1,Happy bday ||T|| Saar... Have a great year ahead... ||P||
Looking for fun? SNAPCHAT - GooffeAnottere #snapchat #kiksex #snapme #lesbian #instagram #mpoints #mugshot :) http://t.co/p4IqffSWJp,1,Looking for fun? SNAPCHAT - GooffeAnottere #snapchat #kiksex #snapme #lesbian #instagram #mpoints #mugshot ||P|| ||U||
"@gabrielaliuw hi we made some changes in our design, hope you like it :) https://t.co/EXt098Yq1b",1,"||T|| hi we made some changes in our design, hope you like it ||P|| ||U||"
"@P_Collin just a bit of fun......... Pedant

:-)",1,||T|| just a bit of fun... Pedant ||P||
@MrBoltonPTpage Why thank you James! If you're stuck for which cocktail to try next I definitely recommend the Virgin Redhead :) ^J,1,||T|| Why thank you James! If you're stuck for which cocktail to try next I definitely recommend the Virgin Redhead ||P|| ^J
Low quality pic for a high quality girl :) http://t.co/xPcOLL8fLZ,1,Low quality pic for a high quality girl ||P|| ||U||
@_siMan__ says it's unavailable. :-(,0,||T|| says it's unavailable. ||N||
The homies bought me skins for my bday :D,1,The homies bought me skins for my bday ||ExP||
@flacqua time for a bracelet? :),1,||T|| time for a bracelet? ||P||
@martymccarthy1 @ABCRural A great incentive to get kids to eat their Fruit &amp; Veges :-),1,||T|| ||T|| A great incentive to get kids to eat their Fruit &amp; Veges ||P||
@JayMcGuiness  :-( please notice mew,0,||T|| ||N|| please notice mew
@MLGJordanD congrats on 100k Man. Can't wait till I can hit that milestone too :),1,||T|| congrats on 100k Man. NOT wait till I can hit that milestone too ||P||
"my aff uname id jonginuh, feel free to add me :)",1,"my aff uname id jonginuh, feel free to add me ||P||"
like a boy when it's up like that' and he laughed and then we hugged and I said bye and :(((((( I love him,0,like a boy when it's up like that' and he laughed and then we hugged and I said bye and ||N|| ((( I love him
@realyys_ OTL NEVERMIND :( at least i got jeon so,0,||T|| OTL NEVERMIND ||N|| at least i got jeon so
We have massage appointments available for tomorrow morning in #Burnley. Give us a call to book in :) 01282 453 110,1,We have massage appointments available for tomorrow morning in #Burnley. Give us a call to book in ||P|| 01282 453 110
@PsychoIogicall Keep trying - you will get there :),1,||T|| Keep trying - you will get there ||P||
Tbh me too but they now busy wth their concert schedule :( aisyhhh https://t.co/16pOubmvlX,0,Tbh me too but they now busy wth their concert schedule ||N|| aisyhhh ||U||
@MattElyas no way!! :(,0,||T|| NOT way!! ||N||
I got in my feels and Ariel body slapped me literally body slammed me :(,0,I got in my feels and Ariel body slapped me literally body slammed me ||N||
"@WeeklyChris I just want your followback? :( but why you always makes SNOB :(
Sakit sa Heart &lt;/3",0,||T|| I just want your followback? ||N|| but why you always makes SNOB ||N|| Sakit sa Heart &lt;/3
@LouiseMillerx @RedShoes4Life @x_Kisaragi @DayveHallam Billy did. I haven't... :(,0,||T|| ||T|| ||T|| ||T|| Billy did. I haven't... ||N||
@Vequafied I'm bored :(,0,||T|| I'm bored ||N||
@TroyeSivanPH @ohhhfrances omg whay ur doing dis to me :(,0,||T|| ||T|| omg whay ur doing dis to me ||N||
Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @IvanVissies,1,Hello ||P|| Get Youth Job Opportunities follow &gt;&gt; ||T|| ||T||
@nicefurby my dad said no sorry :(,0,||T|| my dad said NOT sorry ||N||
@BocasSweets I miss youuuu :((((,0,||T|| I miss youuu ||N|| (((
"@LauraAlyceH @weimingkam And by turning up, to be fair! It meant a lot that people came. :)",1,"||T|| ||T|| And by turning up, to be fair! It meant a lot that people came. ||P||"
So True!!  :)  https://t.co/N2ORwrOwhD,1,So True!! ||P|| ||U||
This fucking bad link isn't working and I can't watch the match! :(,0,This fucking bad link NOT working and I NOT watch the match! ||N||
@diplo so near yet so far :(  Manila better be in the books soon &lt;/3,0,||T|| so near yet so far ||N|| Manila better be in the books soon &lt;/3
Aishhh... the stream getting slow and more viewer... :((*,0,Aishhh... the stream getting slow and more viewer... ||N|| (*
@TinyKyrus So youre not gonna guess whats inside my box? :(((,0,||T|| So youre NOT gonna guess whats inside my box? ||N|| ((
"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x31",1,Hi BAM ! ||T|| Can you follow my bestfriend ||T|| ? She loves you a lot ||P|| See you in Warsaw &lt;3 Love you &lt;3 x31
@miabellasesso http://t.co/FtI5vLQJks @SBNation and a few select others.. will get to you :),1,||T|| ||U|| ||T|| and a few select others.. will get to you ||P||
@AndrewKantarias *On a serious Note* you should *100%* reply to my DM that I sent you. Haha 😄👍 Cause it actually is kinda serious... :( 😔😓,0,||T|| *On a serious Note* you should *100%* reply to my DM that I sent you. Haha 😄👍 Cause it actually is kinda serious... ||N|| 😔😓
#Showbox the only thing that works is that naruto cartoon lets keep fingers crossed this isnt the end for our favourite work companion :(,0,#Showbox the only thing that works is that naruto cartoon lets keep fingers crossed this isnt the end for our favourite work companion ||N||
@EHousein nope :) Emirates air line i http://t.co/xVLbWyCN19,1,||T|| nope ||P|| Emirates air line i ||U||
Guys with blue eyes :D,1,Guys with blue eyes ||ExP||
@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet,1,||T|| Here's your invite to become a Scope influencer ||P|| Details here: ||U||
@guywilliamsguy waiting for you at the foundry. Where you at?? :),1,||T|| waiting for you at the foundry. Where you at?? ||P||
it was a very tiring week :( #NathanielHinanakit,0,it was a very tiring week ||N|| #NathanielHinanakit
@RealMichelleW unblock me on Instagram :(,0,||T|| unblock me on Instagram ||N||
Hmmm 10 mins to get my train and I'm currently about 15 mins away :( #failsatlife,0,Hmmm 10 mins to get my train and I'm currently about 15 mins away ||N|| #failsatlife
"!! Quick notice regarding requests. Our DM is now open for people to request moments/ideas for tweets, thank you :) http://t.co/joEpeCsq29",1,"!! Quick notice regarding requests. Our DM is now open for people to request moments/ideas for tweets, thank you ||P|| ||U||"
@brewdog. Any news about #Cambridge? :-(,0,||T||. Any news about #Cambridge? ||N||
Unsettled weather is the trend for the next few days. Sun this morning. Showers this afternoon. GH is 18C. Mixed bag for the weekend :-(.,0,Unsettled weather is the trend for the next few days. Sun this morning. Showers this afternoon. GH is 18C. Mixed bag for the weekend ||N|| .
@sadcuddleashton theres a rumor they said zayns gonna be back on the 26th this month but JUST A RUMOR THO :(,0,||T|| theres a rumor they said zayns gonna be back on the 26th this month but JUST A RUMOR THO ||N||
"""Hey I think I'm gonna have an asthma attack I don't have my inhaler"" 

""omg r u gonna be ok???"" 

""Yeah u just took my breathe away :)""",1,"""Hey I think I'm gonna have an asthma attack I don't have my inhaler"" ""omg r u gonna be ok???"" ""Yeah u just took my breathe away ||P|| """
@HanMaiCrazyHoon Belated .. Thanks Thanks !! :D,1,||T|| Belated .. Thanks Thanks !! ||ExP||
@rejectzmgc thank you so much! :),1,||T|| thank you so much! ||P||
http://t.co/dpf5i2xYs9 &lt;&lt; Make sure you have a look &amp; leave a comment on our articles :) http://t.co/gZdJJ0tKrk,1,||U|| &lt;&lt; Make sure you have a look &amp; leave a comment on our articles ||P|| ||U||
@alphatecheating @GasManGod wife and 2 kids? Poor you. :-),1,||T|| ||T|| wife and 2 kids? Poor you. ||P||
"Made Cajun chicken with spiced Couscous for dinner! So yum :)
#cajunchicken #couscous #food #dinner… https://t.co/kkTgTf0qVG",1,Made Cajun chicken with spiced Couscous for dinner! So yum ||P|| #cajunchicken #couscous #food #dinner… ||U||
"Dobar dan :)
The Brand New Heavies #musicology2015 #day2 http://t.co/ejDalpfixn",1,Dobar dan ||P|| The Brand New Heavies #musicology2015 #day2 ||U||
@andrekutyan Good going Andre! Keep it up :),1,||T|| Good going Andre! Keep it up ||P||
@jerirecuenco you need help ganda? :),1,||T|| you need help ganda? ||P||
@rachaelhussey same :( working late tonight as well :( x,0,||T|| same ||N|| working late tonight as well ||N|| x
"@RaruShopping Thank you, I've sent them an email :)",1,"||T|| Thank you, I've sent them an email ||P||"
@EdeLabayog awww :(( kaya yan! Think positive!,0,||T|| awww ||N|| ( kaya yan! Think positive!
@corics24 @Ginebrakings Lol! Read the article first. :),1,||T|| ||T|| Lol! Read the article first. ||P||
YES MOMMY DOESNT HAVE HER POWER BACK! YESSSS!! :D,1,YES MOMMY DOESNT HAVE HER POWER BACK! YESSS!! ||ExP||
@PaulBousty thanks :),1,||T|| thanks ||P||
@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D,1,||T|| ||T|| I want you're T-shirts ! They are so cool ! ||ExP||
@brittleyouth @Tom_J_Allen @AndrewFairbairn @batemanesque @Hegelbon @jameswheeler that was the worst part and I still feel bad about it :(,0,||T|| ||T|| ||T|| ||T|| ||T|| ||T|| that was the worst part and I still feel bad about it ||N||
"$10,000 for Tank! :D OUTSTANDING! Thankyou to every single donation from all of you, that got us h... http://t.co/PLQRn4fDRN",1,"$10,000 for Tank! ||ExP|| OUTSTANDING! Thankyou to every single donation from all of you, that got us h... ||U||"
@Monomarchos dead :D,1,||T|| dead ||ExP||
audraesar: All these sushi pics on my tl are driving me craaaazzyy :(,0,audraesar: All these sushi pics on my tl are driving me craaazzyy ||N||
"@tmhcuddly I'm so excited, we should definitely meet up :)",1,"||T|| I'm so excited, we should definitely meet up ||P||"
sunburn is peeling :-),1,sunburn is peeling ||P||
@fynemo emon : ),1,||T|| emon : )
@Wichita1771 you awake? :p,1,||T|| you awake? :p
"#BBMme PIN:7DF9E60A , someone add my bbm pin, okayy :) ##bbmme #BBMpin #addmeonbbm ADD ME ON BBM ##bbmme #BBMpin  #addme MI PIN",1,"#BBMme PIN:7DF9E60A , someone add my bbm pin, okayy ||P|| ##bbmme #BBMpin #addmeonbbm ADD ME ON BBM ##bbmme #BBMpin #addme MI PIN"
It's really hot :-(,0,It's really hot ||N||
can only backtrack 3 hours :( .... it's time to start actually utilizing these lists,0,can only backtrack 3 hours ||N|| ... it's time to start actually utilizing these lists
"@nandabes yes we already added it, please do check our final design :) https://t.co/EXt098Yq1b",1,"||T|| yes we already added it, please do check our final design ||P|| ||U||"
when he thanked liam this year :)))))))) https://t.co/teLnqw7vMR,1,when he thanked liam this year ||P|| ))) ||U||
@Cupcake_XGN sorry :(,0,||T|| sorry ||N||
@jeffer_jen @LloydPfc nope but just had another check today and I have a hernia :(,0,||T|| ||T|| nope but just had another check today and I have a hernia ||N||
"@jojosmith1964 Oh no :( sorry to hear you're having issues with your signal Jojo. If you pop over the full postcode where this is happening,",0,"||T|| Oh NOT ||N|| sorry to hear you're having issues with your signal Jojo. If you pop over the full postcode where this is happening,"
@CranksFood I love Sour Dough for a treat :),1,||T|| I love Sour Dough for a treat ||P||
I'm so sorry I didn't give you enough hugs awhile ago b I was just so tired :( But it was so nice seeing you again luv @nicoooootine,0,I'm so sorry I NOT give you enough hugs awhile ago b I was just so tired ||N|| But it was so nice seeing you again luv ||T||
@darlakim_ picture. :),1,||T|| picture. ||P||
please bring me back :( http://t.co/BLZEq3EqBe,0,please bring me back ||N|| ||U||
"This Sunday Morning stream will also be a birthday stream, so I will follow my usual birthday procedure and play Grim Fandango! :D",1,"This Sunday Morning stream will also be a birthday stream, so I will follow my usual birthday procedure and play Grim Fandango! ||ExP||"
Refreshing Time with Tirth Brambhatt :D — playing snooker,1,Refreshing Time with Tirth Brambhatt ||ExP|| — playing snooker
@lightmytorch I'm not there anymore!! Would have signed if I saw you! :( thank you for coming,0,||T|| I'm NOT there anymore!! Would have signed if I saw you! ||N|| thank you for coming
"I really think I'm gonna get one of those Kindle Paperwhite's this pay. I really want to start reading more. Want that ""laser-like"" focus :)",1,"I really think I'm gonna get one of those Kindle Paperwhite's this pay. I really want to start reading more. Want that ""laser-like"" focus ||P||"
Missyou bishes :(,0,Missyou bishes ||N||
Whom do you really love? — i love all who did the same thing to me :) http://t.co/qpSlKbIHio,1,Whom do you really love? — i love all who did the same thing to me ||P|| ||U||
Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/XX65KfaylK.,1,Stats for the day have arrived. 2 new followers and NOT unfollowers ||P|| via ||U||
i fucking slayed him of :),1,i fucking slayed him of ||P||
Hello my name is FlaviAna. :(,0,Hello my name is FlaviAna. ||N||
@chewy4cutie but you can with me :),1,||T|| but you can with me ||P||
@MattTreby welcome aboard Matt! Thanks for the feedback :),1,||T|| welcome aboard Matt! Thanks for the feedback ||P||
How To Get Free Gold In W.O.T.!!! – (No Download) World of Tanks – Easy http://t.co/Cz4OE19ynN ← Click Aqui :D http://t.co/aJURbpDfTq,1,How To Get Free Gold In W.O.T.!!! – (No Download) World of Tanks – Easy ||U|| ← Click Aqui ||ExP|| ||U||
72 and counting.  :( http://t.co/9xWKegCy6W,0,72 and counting. ||N|| ||U||
